Protein.Accession,Group.Proteins,Group.Accessions,Gene,FC,FCmin,FCmax,Adj_pValue,Log2FC,Log10pValue,Log2FCmin,Log2FCmax,FC_SE,FC_SD_NoProp,FC_SD_Log2,type
P07437,sp|P07437|TBB5_HUMAN,P07437,TUBB,35.2716,32.6792,38.0697,2.42521029e-06,5.1404,-5.61525059775163,5.03030076104661,5.2505712959875,1.37512755102041,1.50999485135205,0.0617624968477039,Enriched
P30049,sp|P30049|ATPD_HUMAN,P30049,ATP5F1D,26.0699,20.3125,33.4593,3.62428757e-05,4.7043,-4.44077735042422,4.34429590791582,5.06433535804329,3.35377551020408,3.68270110597443,0.203798810991435,Enriched
P51693,sp|P51693|APLP1_HUMAN,P51693,APLP1,18.2249,10.6287,31.2499,0.000533917724,4.1878,-3.27252566200848,3.40989324601365,4.96577966803057,5.26051020408163,5.77644111468342,0.457266868413044,Enriched
Q12884,sp|Q12884|SEPR_HUMAN,Q12884,FAP,8.9426,2.9305,27.2885,0.0131117503,3.1607,-1.8823393300572,1.55114683733661,4.77022118931484,6.21377551020408,6.82319907044492,1.10077555318689,Enriched
Q15904,sp|Q15904|VAS1_HUMAN,Q15904,ATP6AP1,6.4103,1.3159,31.2269,0.0581346647,2.6804,-1.2355648280467,0.396049857625031,4.96471745013723,7.63035714285714,8.37871366270129,1.88570404664489,Not Significant
Q5GLZ8,sp|Q5GLZ8|HERC4_HUMAN,Q5GLZ8,HERC4,4.8939,2.7046,8.8552,0.00492770402,2.291,-2.30735538573428,1.43541524074781,3.14652489147744,1.5690306122449,1.72291519019125,0.507906005590875,Enriched
Q8TB40,sp|Q8TB40|ABHD4_HUMAN,Q8TB40,ABHD4,24.0027,14.799,38.9302,0.000287291338,4.5851,-3.54167746804047,3.88742778805356,5.28281785129275,6.15591836734694,6.75966751821662,0.406293408932717,Enriched
Q8TCD1,sp|Q8TCD1|CR032_HUMAN,Q8TCD1,C18orf32,0.9801,0.6527,1.4717,0.920982723,-0.0291,-0.0357485167913615,-0.615508055585416,0.55748361390689,0.208928571428571,0.229419494157746,0.337702649224197,Not Significant
Q969X1,sp|Q969X1|LFG3_HUMAN,Q969X1,TMBIM1,25.997,12.7468,53.0208,0.000887267428,4.7003,-3.05194546134087,3.67206320835825,5.72848653324277,10.2739795918367,11.2816125857254,0.626069413034447,Enriched
Q9BU19,sp|Q9BU19|ZN692_HUMAN,Q9BU19,ZNF692,16.2812,6.0626,43.7236,0.00416503042,4.0251,-2.38038182230284,2.59993663902247,5.45034028565767,9.60739795918367,10.549655151984,0.934816547358672,Enriched
Q9UHB9,sp|Q9UHB9|SRP68_HUMAN,Q9UHB9,SRP68,0.337,0.0982,1.1564,0.110677278,-1.5691,-0.9559415304501,-3.34813316523476,0.2096405139276,0.269948979591837,0.296424552768898,1.26899178717335,Not Significant
Q9Y5W8,sp|Q9Y5W8|SNX13_HUMAN,Q9Y5W8,SNX13,37848.237,1.3711,1044761624.2191,0.0766023015,15.2079,-1.11575818188522,0.455333796677223,29.9605266644388,266520822.155102,292660174.638845,11155.5891656766,Not Significant
O43182,sp|O43182|RHG06_HUMAN,O43182,ARHGAP6,24.9437,15.1795,40.9887,0.000300780641,4.6406,-3.52175011946814,3.92405236525862,5.35715432898558,6.58397959183673,7.22971136583163,0.418152428651077,Enriched
O43681,sp|O43681|GET3_HUMAN,O43681,GET3,8.0077,6.2432,10.271,0.000135441806,3.0014,-3.8682472639171,2.64228568305958,3.36050474633969,1.0275,1.12827330716553,0.203273637251034,Enriched
P20742,sp|P20742|PZP_HUMAN,P20742,PZP,0.0558,0.0497,0.0626,6.80864031e-06,-4.1638,-5.16693960832545,-4.33061033798716,-3.99769353261683,0.00329081632653061,0.00361356712409637,0.0934278740117066,Depleted
P20774,sp|P20774|MIME_HUMAN,P20774,OGN,2.1381,1.7538,2.6066,0.00155015087,1.0963,-2.80962603162333,0.81048423497776,1.38216920876825,0.217551020408163,0.238887600265844,0.161190756388101,Enriched
P22692,sp|P22692|IBP4_HUMAN,P22692,IGFBP4,1.88,1.4356,2.4619,0.007585716,0.9107,-2.12000342078715,0.521653828266628,1.29977216213346,0.261811224489796,0.287488677477528,0.220616217717317,Not Significant
P27487,sp|P27487|DPP4_HUMAN,P27487,DPP4,0.401,0.2536,0.6341,0.0124807143,-1.3182,-1.9037605582697,-1.97937334941004,-0.657217718043872,0.0970663265306122,0.106586224086719,0.383469867623413,Depleted
P42224,sp|P42224|STAT1_HUMAN,P42224,STAT1,8.2862,3.1904,21.521,0.00899246273,3.0507,-2.04612135347485,1.67373731484875,4.42767321095672,4.67617346938776,5.1347948468962,0.894009686176939,Enriched
Q13188,sp|Q13188|STK3_HUMAN,Q13188,STK3,9.1067,5.1613,16.0681,0.00148265361,3.1869,-2.82896030064875,2.36773448955115,4.00612744004004,2.78234693877551,3.05522898520111,0.484013276568884,Enriched
Q14103,sp|Q14103|HNRPD_HUMAN,Q14103,HNRNPD,2.5325,0.292,21.9645,0.369440165,1.3406,-0.432455890461509,-1.77595972578207,4.45710175317391,5.52869897959184,6.07093282922315,3.45844212686683,Not Significant
Q15435,sp|Q15435|PP1R7_HUMAN,Q15435,PPP1R7,5.5264,5.2039,5.8689,5.27533637e-06,2.4663,-5.27774984333313,2.37959323897918,2.55309012628984,0.169642857142857,0.18628078585458,0.0486295537719496,Enriched
Q5JVG2,sp|Q5JVG2|ZN484_HUMAN,Q5JVG2,ZNF484,0.5807,0.13,2.5944,0.43713681,-0.7841,-0.359382621314564,-2.94341647163363,1.37540092890636,0.628673469387755,0.690331381443651,1.71506399273081,Not Significant
Q5SWX8,sp|Q5SWX8|ODR4_HUMAN,Q5SWX8,ODR4,0.4376,0.0528,3.6295,0.406898543,-1.1924,-0.390513865241807,-4.243318260191,1.85977081620874,0.912423469387755,1.00191050641515,3.30313372719308,Not Significant
Q8IWV7,sp|Q8IWV7|UBR1_HUMAN,Q8IWV7,UBR1,5.5545,3.2745,9.422,0.00265119683,2.4737,-2.57655802820443,1.71127463104986,3.23603333200583,1.56823979591837,1.72204681359554,0.447274893897367,Enriched
