Protein,Protein Accession,Protein Gene,MS Level,Fold Change Result,Fold Change,Min Fold Change,Max Fold Change,Adjusted P-Value,Log 2 Fold Change
sp|Q8IYI6|EXOC8_HUMAN,Q8IYI6,EXOC8,2,1.35 (95% CI:0.62 to 2.98),1.3545,0.6165,2.9762,4.11235540E-1,0.4378
sp|Q8N4C8|MINK1_HUMAN,Q8N4C8,MINK1,2,2.54 (95% CI:2.09 to 3.08),2.5368,2.0912,3.0774,7.53851654E-4,1.343
sp|Q8N6M0|OTU6B_HUMAN,Q8N6M0,OTUD6B,2,1.23 (95% CI:0.4 to 3.81),1.2292,0.3968,3.8074,6.83558713E-1,0.2977
sp|Q8NI99|ANGL6_HUMAN,Q8NI99,ANGPTL6,2,28.63 (95% CI:19.43 to 42.19),28.6335,19.4316,42.1931,1.21957931E-4,4.8396
sp|Q92575|UBXN4_HUMAN,Q92575,UBXN4,2,5.97 (95% CI:3.78 to 9.44),5.9729,3.7796,9.4389,1.46906890E-3,2.5784
sp|Q96PD5|PGRP2_HUMAN,Q96PD5,PGLYRP2,2,0.15 (95% CI:0.14 to 0.16),0.148,0.1355,0.1617,9.87629389E-6,-2.7561
sp|Q96SM3|CPXM1_HUMAN,Q96SM3,CPXM1,2,41788.91 (95% CI:3.35 to 520806085.08),41788.9083,3.3531,520806085.0847,6.45569236E-2,15.3508
sp|Q9BRA2|TXD17_HUMAN,Q9BRA2,TXNDC17,2,6.07 (95% CI:3.43 to 10.74),6.0737,3.4336,10.7439,2.86727218E-3,2.6026
sp|Q9NR50|EI2BG_HUMAN,Q9NR50,EIF2B3,2,6.98 (95% CI:5.35 to 9.11),6.9766,5.3452,9.106,2.07829490E-4,2.8025
sp|Q9UBQ5|EIF3K_HUMAN,Q9UBQ5,EIF3K,2,11.5 (95% CI:8.19 to 16.15),11.4972,8.1852,16.1495,2.16522400E-4,3.5232
sp|A0A087WSZ0|KVD08_HUMAN,A0A087WSZ0,IGKV1D-8,2,1.25 (95% CI:0.11 to 14),1.2489,0.1114,13.9961,8.45297119E-1,0.3207
sp|O15533|TPSN_HUMAN,O15533,TAPBP,2,53.45 (95% CI:31.78 to 89.9),53.4519,31.7795,89.9038,1.78037300E-4,5.7402
sp|O43169|CYB5B_HUMAN,O43169,CYB5B,2,22.43 (95% CI:2.73 to 184.54),22.4333,2.727,184.5447,3.06217218E-2,4.4876
sp|O43598|DNPH1_HUMAN,O43598,DNPH1,2,5.76 (95% CI:5.05 to 6.57),5.7589,5.0458,6.5727,3.48958850E-5,2.5258
sp|O95757|HS74L_HUMAN,O95757,HSPA4L,2,4.98 (95% CI:3.87 to 6.42),4.984,3.8663,6.4249,3.23941236E-4,2.3173
sp|P07384|CAN1_HUMAN,P07384,CAPN1,2,23.21 (95% CI:18.16 to 29.66),23.2066,18.1604,29.655,3.81966068E-5,4.5365
sp|P07437|TBB5_HUMAN,P07437,TUBB,2,35.27 (95% CI:32.68 to 38.07),35.2716,32.6792,38.0697,2.42521029E-6,5.1404
sp|P30049|ATPD_HUMAN,P30049,ATP5F1D,2,26.07 (95% CI:20.31 to 33.46),26.0699,20.3125,33.4593,3.62428757E-5,4.7043
sp|P51693|APLP1_HUMAN,P51693,APLP1,2,18.22 (95% CI:10.63 to 31.25),18.2249,10.6287,31.2499,5.33917724E-4,4.1878
sp|Q12884|SEPR_HUMAN,Q12884,FAP,2,8.94 (95% CI:2.93 to 27.29),8.9426,2.9305,27.2885,1.31117503E-2,3.1607
sp|Q15904|VAS1_HUMAN,Q15904,ATP6AP1,2,6.41 (95% CI:1.32 to 31.23),6.4103,1.3159,31.2269,5.81346647E-2,2.6804
sp|Q5GLZ8|HERC4_HUMAN,Q5GLZ8,HERC4,2,4.89 (95% CI:2.7 to 8.86),4.8939,2.7046,8.8552,4.92770402E-3,2.291
sp|Q8TB40|ABHD4_HUMAN,Q8TB40,ABHD4,2,24 (95% CI:14.8 to 38.93),24.0027,14.799,38.9302,2.87291338E-4,4.5851
sp|Q8TCD1|CR032_HUMAN,Q8TCD1,C18orf32,2,0.98 (95% CI:0.65 to 1.47),0.9801,0.6527,1.4717,9.20982723E-1,-0.0291
sp|Q969X1|LFG3_HUMAN,Q969X1,TMBIM1,2,26 (95% CI:12.75 to 53.02),25.997,12.7468,53.0208,8.87267428E-4,4.7003
sp|Q9BU19|ZN692_HUMAN,Q9BU19,ZNF692,2,16.28 (95% CI:6.06 to 43.72),16.2812,6.0626,43.7236,4.16503042E-3,4.0251
sp|Q9UHB9|SRP68_HUMAN,Q9UHB9,SRP68,2,0.34 (95% CI:0.1 to 1.16),0.337,0.0982,1.1564,1.10677278E-1,-1.5691
sp|Q9Y5W8|SNX13_HUMAN,Q9Y5W8,SNX13,2,37848.24 (95% CI:1.37 to 1044761624.22),37848.237,1.3711,1044761624.2191,7.66023015E-2,15.2079
sp|O43182|RHG06_HUMAN,O43182,ARHGAP6,2,24.94 (95% CI:15.18 to 40.99),24.9437,15.1795,40.9887,3.00780641E-4,4.6406
sp|O43681|GET3_HUMAN,O43681,GET3,2,8.01 (95% CI:6.24 to 10.27),8.0077,6.2432,10.271,1.35441806E-4,3.0014
sp|P20742|PZP_HUMAN,P20742,PZP,2,0.06 (95% CI:0.05 to 0.06),0.0558,0.0497,0.0626,6.80864031E-6,-4.1638
sp|P20774|MIME_HUMAN,P20774,OGN,2,2.14 (95% CI:1.75 to 2.61),2.1381,1.7538,2.6066,1.55015087E-3,1.0963
sp|P22692|IBP4_HUMAN,P22692,IGFBP4,2,1.88 (95% CI:1.44 to 2.46),1.88,1.4356,2.4619,7.58571600E-3,0.9107
sp|P27487|DPP4_HUMAN,P27487,DPP4,2,0.4 (95% CI:0.25 to 0.63),0.401,0.2536,0.6341,1.24807143E-2,-1.3182
sp|P42224|STAT1_HUMAN,P42224,STAT1,2,8.29 (95% CI:3.19 to 21.52),8.2862,3.1904,21.521,8.99246273E-3,3.0507
sp|Q13188|STK3_HUMAN,Q13188,STK3,2,9.11 (95% CI:5.16 to 16.07),9.1067,5.1613,16.0681,1.48265361E-3,3.1869
sp|Q14103|HNRPD_HUMAN,Q14103,HNRNPD,2,2.53 (95% CI:0.29 to 21.96),2.5325,0.292,21.9645,3.69440165E-1,1.3406
sp|Q15435|PP1R7_HUMAN,Q15435,PPP1R7,2,5.53 (95% CI:5.2 to 5.87),5.5264,5.2039,5.8689,5.27533637E-6,2.4663
sp|Q5JVG2|ZN484_HUMAN,Q5JVG2,ZNF484,2,0.58 (95% CI:0.13 to 2.59),0.5807,0.13,2.5944,4.37136810E-1,-0.7841
sp|Q5SWX8|ODR4_HUMAN,Q5SWX8,ODR4,2,0.44 (95% CI:0.05 to 3.63),0.4376,0.0528,3.6295,4.06898543E-1,-1.1924
sp|Q8IWV7|UBR1_HUMAN,Q8IWV7,UBR1,2,5.55 (95% CI:3.27 to 9.42),5.5545,3.2745,9.422,2.65119683E-3,2.4737
sp|Q8N5G0|SIM20_HUMAN,Q8N5G0,SMIM20,2,0.29 (95% CI:0.19 to 0.42),0.2856,0.1929,0.4229,2.78411042E-3,-1.8077
sp|Q8NAA5|LR75A_HUMAN,Q8NAA5,LRRC75A,2,1718.09 (95% CI:0.12 to 25534660.95),1718.0943,0.1156,25534660.9473,1.45639561E-1,10.7466
sp|Q8ND90|PNMA1_HUMAN,Q8ND90,PNMA1,2,2.97 (95% CI:0.67 to 13.1),2.9661,0.6717,13.097,1.62693470E-1,1.5686
sp|Q96A72|MGN2_HUMAN / sp|P61326|MGN_HUMAN,Q96A72 / P61326,MAGOHB / MAGOH,2,6.38 (95% CI:2.21 to 18.41),6.3848,2.2141,18.4116,1.85472634E-2,2.6746
sp|Q96HD1|CREL1_HUMAN,Q96HD1,CRELD1,2,10.52 (95% CI:4.51 to 24.53),10.5237,4.5142,24.5336,4.36537162E-3,3.3956
sp|Q96MH6|TMM68_HUMAN,Q96MH6,TMEM68,2,4.77 (95% CI:1.47 to 15.47),4.7694,1.4703,15.4709,4.14313638E-2,2.2538
sp|Q9UKT9|IKZF3_HUMAN,Q9UKT9,IKZF3,2,0.13 (95% CI:0.09 to 0.19),0.1325,0.0918,0.1913,5.00137417E-4,-2.9155
sp|Q9Y2S7|PDIP2_HUMAN,Q9Y2S7,POLDIP2,2,244.49 (95% CI:0 to 13286624.31),244.489,0.0045,13286624.3116,3.00375817E-1,7.9336
sp|O15400|STX7_HUMAN,O15400,STX7,2,23.33 (95% CI:19.43 to 28.01),23.329,19.432,28.0074,1.74986537E-5,4.544
sp|O43674|NDUB5_HUMAN,O43674,NDUFB5,2,8.42 (95% CI:3.75 to 18.88),8.418,3.7531,18.881,5.18469173E-3,3.0735
sp|P01034|CYTC_HUMAN,P01034,CST3,2,0.27 (95% CI:0.24 to 0.31),0.2709,0.2401,0.3056,6.25132231E-5,-1.8843
sp|P01871|IGHM_HUMAN,P01871,IGHM,2,0.32 (95% CI:0.28 to 0.36),0.3171,0.2816,0.3571,8.67713303E-5,-1.6569
sp|P06733|ENOA_HUMAN,P06733,ENO1,2,20.06 (95% CI:16.95 to 23.75),20.0634,16.9473,23.7525,1.61789136E-5,4.3265
sp|P08571|CD14_HUMAN,P08571,CD14,2,0.76 (95% CI:0.63 to 0.91),0.7571,0.6325,0.9061,2.66396362E-2,-0.4015
sp|P20339|RAB5A_HUMAN,P20339,RAB5A,2,11.37 (95% CI:8.29 to 15.6),11.3712,8.2904,15.5968,1.75161025E-4,3.5073
sp|P21399|ACOHC_HUMAN,P21399,ACO1,2,5.64 (95% CI:4.72 to 6.74),5.6408,4.7225,6.7377,8.52683178E-5,2.4959
sp|P45877|PPIC_HUMAN,P45877,PPIC,2,3.86 (95% CI:2.01 to 7.41),3.8632,2.0147,7.4079,1.10310915E-2,1.9498
sp|P48509|CD151_HUMAN,P48509,CD151,2,24.95 (95% CI:19.52 to 31.88),24.9456,19.5194,31.8804,3.58492079E-5,4.6407
sp|P50151|GBG10_HUMAN,P50151,GNG10,2,0.17 (95% CI:0.09 to 0.33),0.1681,0.0864,0.3271,4.92378426E-3,-2.573
sp|Q13617|CUL2_HUMAN,Q13617,CUL2,2,7.11 (95% CI:2.71 to 18.67),7.1104,2.7082,18.6685,1.17905865E-2,2.8299
sp|Q14088|RB33A_HUMAN,Q14088,RAB33A,2,1.53 (95% CI:1.36 to 1.72),1.5289,1.3591,1.7199,1.89873380E-3,0.6125
sp|Q14623|IHH_HUMAN,Q14623,IHH,2,0.04 (95% CI:0.03 to 0.06),0.04,0.0282,0.0565,9.87909827E-5,-4.6456
sp|Q6NUK1|SCMC1_HUMAN,Q6NUK1,SLC25A24,2,2.54 (95% CI:0.69 to 9.39),2.5418,0.6878,9.394,1.70829485E-1,1.3459
sp|Q6UXB8|PI16_HUMAN,Q6UXB8,PI16,2,10.31 (95% CI:9.02 to 11.77),10.3077,9.0246,11.7732,1.65973242E-5,3.3656
sp|Q86Y46|K2C73_HUMAN,Q86Y46,KRT73,2,1.15 (95% CI:0.36 to 3.6),1.1459,0.3648,3.5993,7.95679121E-1,0.1965
sp|Q8TBX8|PI42C_HUMAN,Q8TBX8,PIP4K2C,2,5.43 (95% CI:1.48 to 19.98),5.4328,1.4773,19.9786,4.39704211E-2,2.4417
sp|Q92905|CSN5_HUMAN,Q92905,COPS5,2,8.27 (95% CI:3.18 to 21.5),8.2704,3.182,21.4959,9.04106950E-3,3.048
sp|Q92954|PRG4_HUMAN,Q92954,PRG4,2,0.45 (95% CI:0.35 to 0.58),0.4525,0.3503,0.5845,3.06334759E-3,-1.144
sp|Q969M1|TM40L_HUMAN,Q969M1,TOMM40L,2,0.43 (95% CI:0.17 to 1.08),0.4253,0.1681,1.076,1.00266054E-1,-1.2334
sp|Q969M7|UBE2F_HUMAN,Q969M7,UBE2F,2,6.14 (95% CI:1.28 to 29.46),6.1398,1.2795,29.4638,6.03382957E-2,2.6182
sp|Q9BUL8|PDC10_HUMAN,Q9BUL8,PDCD10,2,13.64 (95% CI:10.43 to 17.83),13.6362,10.4308,17.8266,8.51253008E-5,3.7694
sp|Q9H1B5|XYLT2_HUMAN,Q9H1B5,XYLT2,2,1.91 (95% CI:0.65 to 5.62),1.9098,0.6491,5.6192,2.29928908E-1,0.9334
sp|Q9H8W4|PKHF2_HUMAN,Q9H8W4,PLEKHF2,2,7.55 (95% CI:6.46 to 8.82),7.5481,6.4623,8.8163,3.66617015E-5,2.9161
sp|Q9NPI6|DCP1A_HUMAN,Q9NPI6,DCP1A,2,1.82 (95% CI:0.41 to 8.16),1.8178,0.405,8.1583,4.00662679E-1,0.8622
sp|Q9NPQ8|RIC8A_HUMAN,Q9NPQ8,RIC8A,2,2.46 (95% CI:0.86 to 7.05),2.463,0.8602,7.0524,1.17873107E-1,1.3004
sp|Q9NZ01|TECR_HUMAN,Q9NZ01,TECR,2,1.68 (95% CI:0.23 to 12.03),1.6799,0.2347,12.0265,5.58491552E-1,0.7484
sp|Q9P2D3|HTR5B_HUMAN,Q9P2D3,HEATR5B,2,15.02 (95% CI:7.58 to 29.75),15.0173,7.5795,29.7537,1.40372017E-3,3.9086
sp|Q9UBS8|RNF14_HUMAN,Q9UBS8,RNF14,2,5.37 (95% CI:1.99 to 14.49),5.3672,1.9884,14.4878,2.05013412E-2,2.4242
sp|Q9Y5L4|TIM13_HUMAN,Q9Y5L4,TIMM13,2,5.05 (95% CI:3.21 to 7.94),5.046,3.2087,7.9353,1.95176346E-3,2.3351
sp|O14545|TRAD1_HUMAN,O14545,TRAFD1,2,3.15 (95% CI:0.54 to 18.39),3.1499,0.5395,18.3917,1.99762432E-1,1.6553
sp|O94923|GLCE_HUMAN,O94923,GLCE,2,1.83 (95% CI:0.26 to 12.75),1.8337,0.2636,12.7547,4.92689225E-1,0.8747
sp|P09417|DHPR_HUMAN,P09417,QDPR,2,7.63 (95% CI:3.79 to 15.34),7.6289,3.7946,15.3374,3.78752383E-3,2.9315
sp|P24723|KPCL_HUMAN / sp|Q02156|KPCE_HUMAN,P24723 / Q02156,PRKCH / PRKCE,2,76.47 (95% CI:38.72 to 151.02),76.4665,38.7164,151.0246,3.17083902E-4,6.2568
sp|P42566|EPS15_HUMAN,P42566,EPS15,2,3.34 (95% CI:0.39 to 28.35),3.3366,0.3927,28.3467,2.54744182E-1,1.7384
sp|P49247|RPIA_HUMAN,P49247,RPIA,2,16.11 (95% CI:8.3 to 31.3),16.1148,8.296,31.3027,1.17789670E-3,4.0103
sp|P51784|UBP11_HUMAN,P51784,USP11,2,2.69 (95% CI:2.33 to 3.11),2.6936,2.3349,3.1073,2.42933761E-4,1.4295
sp|P54819|KAD2_HUMAN,P54819,AK2,2,6.97 (95% CI:6.31 to 7.69),6.965,6.3088,7.6895,1.26020274E-5,2.8001
sp|P68366|TBA4A_HUMAN,P68366,TUBA4A,2,35.13 (95% CI:31.6 to 39.06),35.132,31.5955,39.0643,3.72474926E-6,5.1347
sp|Q07020|RL18_HUMAN,Q07020,RPL18,2,12738.92 (95% CI:0.56 to 289006250.59),12738.9205,0.5615,289006250.5883,9.50701300E-2,13.637
sp|Q15080|NCF4_HUMAN,Q15080,NCF4,2,0.65 (95% CI:0.41 to 1.02),0.6458,0.408,1.0221,9.27358151E-2,-0.6309
sp|Q15121|PEA15_HUMAN,Q15121,PEA15,2,14.17 (95% CI:10.52 to 19.09),14.1679,10.5175,19.0853,1.11935967E-4,3.8246
sp|Q16760|DGKD_HUMAN / sp|Q5KSL6|DGKK_HUMAN / sp|Q86XP1|DGKH_HUMAN,Q16760 / Q5KSL6 / Q86XP1,DGKD / DGKK / DGKH,2,0.19 (95% CI:0.01 to 4.9),0.1899,0.0074,4.9036,2.94987429E-1,-2.397
sp|Q7Z434|MAVS_HUMAN,Q7Z434,MAVS,2,21.28 (95% CI:16.76 to 27.01),21.28,16.7638,27.0129,3.82251992E-5,4.4114
sp|Q8N0Z3|SPICE_HUMAN,Q8N0Z3,SPICE1,2,1.81 (95% CI:0 to 1111.99),1.8135,0.003,1111.9883,8.44076113E-1,0.8588
sp|Q96C90|PP14B_HUMAN,Q96C90,PPP1R14B,2,0.17 (95% CI:0.12 to 0.24),0.171,0.1244,0.2351,4.90372655E-4,-2.5479
sp|Q9BR76|COR1B_HUMAN,Q9BR76,CORO1B,2,18.07 (95% CI:9.08 to 35.96),18.0732,9.0847,35.9553,1.15796417E-3,4.1758
sp|Q9BSU3|NAA11_HUMAN / sp|P41227|NAA10_HUMAN,Q9BSU3 / P41227,NAA11 / NAA10,2,1.5 (95% CI:1.01 to 2.21),1.4956,1.0118,2.2106,7.67211319E-2,0.5807
sp|Q9BZL4|PP12C_HUMAN,Q9BZL4,PPP1R12C,2,0.77 (95% CI:0.7 to 0.84),0.7658,0.6953,0.8435,4.45568917E-3,-0.3849
sp|Q9H0X4|F234A_HUMAN,Q9H0X4,FAM234A,2,11.48 (95% CI:1.49 to 88.3),11.4788,1.4923,88.2972,5.52525831E-2,3.5209
sp|Q9H8J5|MANS1_HUMAN,Q9H8J5,MANSC1,2,0.63 (95% CI:0.12 to 3.44),0.6331,0.1165,3.439,5.49425827E-1,-0.6595
sp|Q9NQ11|AT132_HUMAN,Q9NQ11,ATP13A2,2,40.35 (95% CI:21.2 to 76.81),40.3535,21.1999,76.812,4.41535038E-4,5.3346
sp|Q9NXL6|SIDT1_HUMAN,Q9NXL6,SIDT1,2,6.58 (95% CI:3.57 to 12.11),6.5759,3.5717,12.1071,3.10987343E-3,2.7172
sp|Q9Y282|ERGI3_HUMAN,Q9Y282,ERGIC3,2,0.28 (95% CI:0.17 to 0.46),0.2779,0.1682,0.4593,5.78804437E-3,-1.8473
sp|Q9Y4E6|WDR7_HUMAN,Q9Y4E6,WDR7,2,15.41 (95% CI:8.6 to 27.62),15.4101,8.5974,27.6212,8.21795637E-4,3.9458
sp|O94769|ECM2_HUMAN,O94769,ECM2,2,14.53 (95% CI:9.02 to 23.4),14.5319,9.0244,23.4005,4.71766932E-4,3.8612
sp|P08185|CBG_HUMAN,P08185,SERPINA6,2,0.06 (95% CI:0.05 to 0.08),0.0622,0.0482,0.0803,6.19672673E-5,-4.0061
sp|P17152|TMM11_HUMAN,P17152,TMEM11,2,156474.18 (95% CI:4.08 to 5999753182.64),156474.1849,4.0809,5999753182.6413,6.38210467E-2,17.2556
sp|P29597|TYK2_HUMAN,P29597,TYK2,2,2.45 (95% CI:0.67 to 9.02),2.4542,0.668,9.017,1.80964378E-1,1.2952
sp|P52630|STAT2_HUMAN,P52630,STAT2,2,2.89 (95% CI:2.26 to 3.71),2.8919,2.2564,3.7065,1.09678697E-3,1.532
sp|Q14315|FLNC_HUMAN,Q14315,FLNC,2,19.86 (95% CI:18.31 to 21.54),19.8561,18.3054,21.5381,3.09602718E-6,4.3115
sp|Q5T2Q4|CCYL2_HUMAN,Q5T2Q4,CCNYL2,2,6.82 (95% CI:3.46 to 13.46),6.8208,3.4576,13.4554,4.15784900E-3,2.7699
sp|Q7Z4Q2|HEAT3_HUMAN,Q7Z4Q2,HEATR3,2,0.47 (95% CI:0.38 to 0.59),0.4712,0.3774,0.5883,2.30531612E-3,-1.0857
sp|Q86WR7|PRSR2_HUMAN,Q86WR7,PROSER2,2,11.41 (95% CI:6.4 to 20.34),11.4088,6.399,20.3408,1.15673236E-3,3.5121
sp|Q86X10|RLGPB_HUMAN,Q86X10,RALGAPB,2,6.49 (95% CI:4.45 to 9.46),6.487,4.4478,9.461,6.92057637E-4,2.6975
sp|Q8TC05|MDM1_HUMAN,Q8TC05,MDM1,2,144201.17 (95% CI:54416.45 to 382126.63),144201.1665,54416.4549,382126.6278,4.40144094E-5,17.1377
sp|Q99784|NOE1_HUMAN,Q99784,OLFM1,2,0.16 (95% CI:0.12 to 0.23),0.1633,0.1159,0.23,5.62907269E-4,-2.6146
sp|Q9BXP2|S12A9_HUMAN,Q9BXP2,SLC12A9,2,6.45 (95% CI:4.3 to 9.67),6.4477,4.3005,9.6671,8.70719485E-4,2.6888
sp|Q9H2C1|LHX5_HUMAN / sp|P48742|LHX1_HUMAN,Q9H2C1 / P48742,LHX5 / LHX1,2,19.27 (95% CI:3.43 to 108.16),19.2725,3.434,108.1631,1.96802396E-2,4.2685
sp|Q9NR99|MXRA5_HUMAN,Q9NR99,MXRA5,2,5.28 (95% CI:1.98 to 14.06),5.2755,1.9798,14.0577,2.03279077E-2,2.3993
sp|Q9NRY6|PLS3_HUMAN,Q9NRY6,PLSCR3,2,1.21 (95% CI:0.36 to 4.09),1.2107,0.3585,4.089,7.28331992E-1,0.2758
sp|Q9UL18|AGO1_HUMAN,Q9UL18,AGO1,2,9.04 (95% CI:5.44 to 15.01),9.0397,5.4438,15.0107,1.04453241E-3,3.1763
sp|A0A0G2JS06|LV539_HUMAN,A0A0G2JS06,IGLV5-39,2,0.29 (95% CI:0.23 to 0.37),0.2933,0.2333,0.3685,5.38031192E-4,-1.7698
sp|O15144|ARPC2_HUMAN,O15144,ARPC2,2,46.19 (95% CI:32.97 to 64.72),46.1931,32.9711,64.7175,5.43771423E-5,5.5296
sp|O75787|RENR_HUMAN,O75787,ATP6AP2,2,4.97 (95% CI:4.48 to 5.51),4.9672,4.4751,5.5135,2.34505642E-5,2.3124
sp|P00918|CAH2_HUMAN,P00918,CA2,2,14.78 (95% CI:12.61 to 17.32),14.7786,12.6094,17.321,1.82342165E-5,3.8854
sp|P02790|HEMO_HUMAN,P02790,HPX,2,0.04 (95% CI:0.04 to 0.05),0.0439,0.041,0.0471,2.52843044E-6,-4.5082
sp|P04432|KVD39_HUMAN / sp|P01597|KV139_HUMAN,P04432 / P01597,IGKV1D-39 / IGKV1-39,2,0.14 (95% CI:0.11 to 0.16),0.1354,0.1136,0.1614,5.43323294E-5,-2.8849
sp|P49720|PSB3_HUMAN,P49720,PSMB3,2,10.63 (95% CI:9.59 to 11.77),10.628,9.5936,11.7741,8.36630372E-6,3.4098
sp|P53007|TXTP_HUMAN,P53007,SLC25A1,2,1.17 (95% CI:0.27 to 5.04),1.1699,0.2718,5.0368,8.16693168E-1,0.2264
sp|P60484|PTEN_HUMAN,P60484,PTEN,2,0.3 (95% CI:0.03 to 2.99),0.2953,0.0292,2.9899,2.82500918E-1,-1.7597
sp|P82675|RT05_HUMAN,P82675,MRPS5,2,992.56 (95% CI:0.09 to 11474659.53),992.5591,0.0859,11474659.528,1.60294056E-1,9.955
sp|Q14410|GLPK2_HUMAN,Q14410,GK2,2,9.3 (95% CI:4.59 to 18.82),9.2983,4.5934,18.8226,2.86962612E-3,3.217
sp|Q15031|SYLM_HUMAN,Q15031,LARS2,2,5.42 (95% CI:0.29 to 102.68),5.4163,0.2857,102.6791,2.47032676E-1,2.4373
sp|Q15084|PDIA6_HUMAN,Q15084,PDIA6,2,41.13 (95% CI:38.46 to 43.99),41.1335,38.4589,43.9941,2.11187355E-6,5.3622
sp|Q17RN3|FA98C_HUMAN,Q17RN3,FAM98C,2,31.01 (95% CI:3.9 to 246.46),31.0062,3.9008,246.4564,2.18290831E-2,4.9545
sp|Q38SD2|LRRK1_HUMAN,Q38SD2,LRRK1,2,48.94 (95% CI:31.65 to 75.7),48.9439,31.6462,75.6964,1.11109891E-4,5.6131
sp|Q53S33|BOLA3_HUMAN,Q53S33,BOLA3,2,3.93 (95% CI:0.57 to 27.07),3.9273,0.5698,27.0674,1.73250327E-1,1.9735
sp|Q7Z478|DHX29_HUMAN,Q7Z478,DHX29,2,0.39 (95% CI:0.3 to 0.5),0.3886,0.3034,0.4979,1.57814768E-3,-1.3635
sp|Q8N128|F177A_HUMAN,Q8N128,FAM177A1,2,11.55 (95% CI:2.83 to 47.1),11.5472,2.8307,47.104,1.88816288E-2,3.5295
sp|Q96DE0|NUD16_HUMAN / sp|Q9BRJ7|TIRR_HUMAN,Q96DE0 / Q9BRJ7,NUDT16 / NUDT16L1,2,28.81 (95% CI:7.08 to 117.27),28.8104,7.0779,117.2714,7.07219244E-3,4.8485
sp|Q96F07|CYFP2_HUMAN,Q96F07,CYFIP2,2,6.21 (95% CI:0.99 to 38.92),6.2074,0.99,38.9219,8.36163263E-2,2.634
sp|Q9H4L5|OSBL3_HUMAN,Q9H4L5,OSBPL3,2,0.88 (95% CI:0.23 to 3.38),0.8779,0.2281,3.3783,8.37127750E-1,-0.1879
sp|Q9HAQ2|KIF9_HUMAN,Q9HAQ2,KIF9,2,350.88 (95% CI:2.88 to 42685.49),350.8765,2.8842,42685.4937,5.23454736E-2,8.4548
sp|Q9HB40|RISC_HUMAN,Q9HB40,SCPEP1,2,6.9 (95% CI:3.63 to 13.12),6.9035,3.6323,13.1206,3.38984620E-3,2.7873
sp|Q9NR46|SHLB2_HUMAN,Q9NR46,SH3GLB2,2,6.76 (95% CI:2.9 to 15.75),6.7573,2.899,15.7506,8.46979994E-3,2.7565
sp|Q9UJJ9|GNPTG_HUMAN,Q9UJJ9,GNPTG,2,0.37 (95% CI:0.2 to 0.7),0.3718,0.1972,0.7007,2.60302474E-2,-1.4276
sp|A0A0B4J1X8|HV343_HUMAN,A0A0B4J1X8,IGHV3-43,2,0.21 (95% CI:0.17 to 0.24),0.2051,0.1738,0.242,8.92691498E-5,-2.2857
sp|O75534|CSDE1_HUMAN,O75534,CSDE1,2,10.82 (95% CI:6.45 to 18.17),10.8242,6.4495,18.1662,8.71414356E-4,3.4362
sp|O75955|FLOT1_HUMAN,O75955,FLOT1,2,29.64 (95% CI:19.4 to 45.29),29.6393,19.3966,45.2908,1.56076327E-4,4.8894
sp|P01766|HV313_HUMAN,P01766,IGHV3-13,2,0.18 (95% CI:0.16 to 0.2),0.1774,0.155,0.2031,3.82312121E-5,-2.4947
sp|P03886|NU1M_HUMAN,P03886,MT-ND1,2,2417.09 (95% CI:0.14 to 41023991.76),2417.0863,0.1424,41023991.7573,1.36479808E-1,11.2391
sp|P08254|MMP3_HUMAN,P08254,MMP3,2,4.21 (95% CI:1.5 to 11.84),4.2106,1.4978,11.8372,3.62696760E-2,2.074
sp|P14618|KPYM_HUMAN,P14618,PKM,2,21.39 (95% CI:19.47 to 23.5),21.3865,19.4667,23.4957,3.90248732E-6,4.4186
sp|P22626|ROA2_HUMAN,P22626,HNRNPA2B1,2,0.5 (95% CI:0.04 to 6.47),0.502,0.039,6.4688,5.50200122E-1,-0.9943
sp|P25440|BRD2_HUMAN,P25440,BRD2,2,3.46 (95% CI:2.29 to 5.22),3.4625,2.2946,5.2249,3.35236403E-3,1.7918
sp|P58215|LOXL3_HUMAN,P58215,LOXL3,2,14.37 (95% CI:10.96 to 18.86),14.3737,10.9572,18.8556,8.34529382E-5,3.8454
sp|Q12802|AKP13_HUMAN,Q12802,AKAP13,2,0.87 (95% CI:0.19 to 3.97),0.869,0.1905,3.9652,8.44426712E-1,-0.2025
sp|Q13615|MTMR3_HUMAN / sp|Q9NYA4|MTMR4_HUMAN,Q13615 / Q9NYA4,MTMR3 / MTMR4,2,12.49 (95% CI:2.86 to 54.47),12.4884,2.8631,54.473,1.97142713E-2,3.6425
sp|Q14766|LTBP1_HUMAN,Q14766,LTBP1,2,26.67 (95% CI:19.51 to 36.45),26.6659,19.5106,36.4452,6.83807588E-5,4.7369
sp|Q7Z7M9|GALT5_HUMAN,Q7Z7M9,GALNT5,2,2.55 (95% CI:1.97 to 3.28),2.5458,1.9744,3.2826,1.78156327E-3,1.3481
sp|Q8IUG5|MY18B_HUMAN,Q8IUG5,MYO18B,2,5.48 (95% CI:1.9 to 15.8),5.4818,1.9017,15.8021,2.38798600E-2,2.4547
sp|Q8TAE8|G45IP_HUMAN,Q8TAE8,GADD45GIP1,2,26.16 (95% CI:4.05 to 168.79),26.1587,4.0541,168.7859,1.85448306E-2,4.7092
